Organization,Website,City,Address,Province,Postal code
Access Alliance Multicultural Health and Community Services,http://www.accessalliance.ca,Toronto,"340 College Street, Suite 500",ON,M5T 3A9
ACHEV,https://achev.ca/,Mississauga,"90 Burnhamthorpe Road West,Suite 210
",ON,L5B 3C3 
Adult Language and Learning,http://www.adultlanguageandlearning.ca,Chatham,240 King Street West,ON,N7M 1E7
Afghan Women's Counselling and Integration Community Support Organization,https://afghanwomen.org/,Toronto,"150 Consumers Road, Suite 203            ",ON,M2J 1P9
African Community Services of Peel,http://www.africancommunityservices.com,Brampton,"10 Gillingham Drive, Suite 308",ON, L6X 5A5
Arab Community Centre of Toronto,http://www.arabcommunitycentre.com,Etobicoke,"295 The West Mall, Suite 200      ",ON,M9C 4Z4
Black Coalition for AIDS Prevention ,http://www.black-cap.com,Toronto,20 Victoria Street,ON,M5C 2N8
Brampton Multicultural Community Centre,http://www.bmccentre.org,Brampton,197 County Court Boulevard Suite 303,ON,L6W 4P6
Canadian Centre for Victims of Torture,https://ccvt.org,Toronto,194 Jarvis Street 2nd Floor,ON,M5B 2B7
Canadian Ukrainian Immigrant Aid Society ,http://www.cuias.org,Toronto,2383 Bloor Street West 2nd Floor,ON,M6S 1P6
Catholic Community Services of York Region,http://www.ccsyr.or,Richmond Hill,21 Dunlop Street,ON,L4C 2M6
Catholic Cross Cultural Services of Toronto,https://www.cathcrosscultural.org,Scarborough,55 Town Centre Court Unit 401,ON,M1P 4X4
Centre de sante communautaire Hamilton Niagara,http://www.centredesantecommunautaire.com,Hamilton,460 rue Main est,ON,L3B 3Y4
Centre for Immigrant and Community Services,http://www.cicscanada.com,Scarborough,2330 Midland Avenue,ON,M1S 5G5
Centre for Spanish Speaking Peoples,http://www.spanishservices.org,Toronto,"2141 Jane Street, 2nd Floor",ON,M3M 1A2
Centre Francophone du Grand Toronto,http://www.centrefranco.org,Toronto,"555 Richard Street West, Suite 303",ON,M5V 3B1
Christie Refugee Welcome Centre,http://www.christiestreetrc.com,Toronto,43 Christie Street,ON,M6G 3B1
Collège Boréal d'arts appliqués et de technologie,http://www.collegeboreal.ca,Sudbury,21 Lasalle Blvd,ON,P3C 1Y4
Community Development Council Durham,http://www.cdcd.org,Ajax,458 Fairfall Street Unit 4,ON,L1S 1R6
Conseil des organismes francophones de la region de Durham,https://www.cofrd.org,Oshawa,"57 rue Simcoe sud, Suite 2D",ON,L1H 4G4
Conseil économique et social d'Ottawa-Carleton,http://www.cesoc.ca,Ottawa,649 chemin Montréal 2e étage,ON,K1K 0T4
COSTI Immigrant Services,http://www.costi.org,Toronto,1710 Dufferin Street,ON,M6E 3P2
County of Northumberland,http://www.northumberland.ca,Cobourg,555 Courthouse Road,ON,K9A 5J6
Cross-Cultural Community Services Association,http://tccsa.on.ca,Markham,3636 Steeles Avenue,ON,L3R 1K9
CultureLink Settlement Services,http://www.culturelink.ca,Toronto,2340 Dundas Street West Suite 301,ON,M6P 4A9
Davenport-Perth Neighbourhood & Community Health Centre,http://www.dpnchc.ca,Toronto,1900 Davenport Road,ON,M6N 1B7
Dixie Bloor Neighbourhood Centre,https://www.dixiebloor.ca,Mississauga,3650 Dixie Road Suite 103,ON,L4Y 3V9
Dixon Hall Neighbourhood Services,http://www.dixonhall.org,Toronto,58 Sumach Street,ON,M5A 3J7
Eastview Neighbourhood Community Centre,https://www.eastviewcentre.com,Toronto,86 Blake Street,ON,M4J 3C9
Elspeth Heyworth Centre for Women ,https://ehcw.ca,Toronto,2350 Finch Avenue West,ON,M9M 2C7
FCJ Refugee Centre,http://www.fcjrefugeecentre.org,Toronto,208 Oakwood Avenue,ON,M6E 2V4
Findhelp Information Services,http://www.findhelp.ca,Toronto,"1 St. Clair Avenue West, 10th Floor",ON,M4V 1K7
Folk Arts Council of St. Catharines,http://www.folk-arts.ca,St. Catharines,85 Church Street,ON,L2R 3C7
For Youth Initiative,http://www.foryouth.ca,Toronto,1652 Keele Street #108,ON,M6M 3W3
Fort Erie Multicultural Centre,http://www.firststepsincanada.com,Fort Erie,52 Jarvis Street,ON,L2A 2S4
FrancoQueer,http://www.francoqueer.ca,Toronto,543 Yonge Street,ON,M4Y 1Y5
Halton Multicultural Council,https://hmcconnections.com,Oakville,1092 Speers Road,ON,L6L 2X4
Hamilton Urban Core Community Health Centre,http://www.hucchc.com,Hamilton,71 Rebecca Street,ON,L8R 1J1
Immigrant Services Guelph-Wellington,http://www.is-gw.ca,Guelph,926 Paisley Road Unit 4-5,ON,N1K 1X5
Indus Community Services,http://www.induscs.ca,Mississauga,3038 Hurontario Street Suite 206,ON,L5B 3B9
Jane Finch Community and Family Centre,http://www.janefinchcentre.org,Toronto,108-4400 Jane Street,ON,M3N 2K4
Jewish Family Services of Ottawa,http://www.jfsottawa.com,Ottawa,2255 Carling Avenue Suite 300,ON,K2B 7Z5
Jewish Immigrant Aid Services Toronto,http://www.jiastoronto.org,Toronto,4600 Bathurst Street Suite 325,ON,M2R 3V3
Kababayan Community Service Centre,http://www.kababayan.org,Toronto,1313 Queen Street West Suite 133,ON,M6K 1L8
KCWA Family and Social Services,https://www.kcwa.net/en,Toronto,27 Madison Avenue,ON,M5R 2S2
Kingston Community Health Centres,http://www.kchc.ca,Kingston,400 Elliott Avenue,ON,K7K 6M9
Kitchener-Waterloo Multicultural Centre,http://www.kwmc.on.ca,Kitchener,715 Fischer Hallman Road  ,ON,N2E 4E9
La Cité collégiale,http://www.collegelacite.ca/,Ottawa,801 Aviation Pkwy,ON,K1K 4R3
Lebanese & Arab Social Service Agency of Ottawa-Carleton,https://lasi.ca/agency/lebanese-and-arab-social-services-agency-lassa,Ottawa,2410 Holly Lane,ON,K1V 7P1
The Learning Enrichment Foundation,http://www.lefca.org,Toronto,116 Industry Street,ON,M6M 4L8
London Cross Cultural Learner Centre,http://www.lcclc.org,London,505 Dundas Street,ON,N6B 1W4
Luso Community Services,http://www.lusocentre.org,London,1193 Oxford Street East Unit 2,ON,N5Y 3M2
Malton Neighbourhood Services,https://www.mnsinfo.org/,Mississauga,3540 Morning Star Drive,ON,L4T 1Y2
Malvern Family Resource Centre,http://mfrc.org/,Scarborough,90 Littles Rd,ON,M1B 5E2
Mennonite Community Services of Southern Ontario,https://www.mcson.org/,Aylmer,16 Talbot Street East,ON,N5H 1H4
Mennonite New Life Centre of Toronto,http://www.mnlct.org,Toronto,1774 Queen Street East Suite 200,ON,M4L 1G7
Multicultural Council of Windsor and Essex County,http://www.themcc.com,Windsor,245 Janette Avenue,ON,N9A 4Z2
Muslim Resource Centre for Social Support and Integration,http://www.mrcssi.com,London,"111 Waterloo Street, Suite 101",ON,N6B 2M4
New Canadians Centre Peterborough,http://www.nccpeterborough.ca,Peterborough,205 Sherbrooke Street Unit D,ON,K9J 2N2
New Circles Community Services,http://www.newcircles.ca,Toronto,161 Bartley Drive,ON,M4A 1E6
Newcomer Centre of Peel,http://www.ncpeel.ca,Mississauga,165 Dundas Street West Suite 116,ON,L5B 2N6
Newcomer Women's Services Toronto,http://www.newcomerwomen.org,Toronto,"355 Church Street, Suite 201",ON,M5B 0B2
North Bay & District Multicultural Centre,http://www.nbdmc.ca,North Bay,100 Main St East,ON,P1B 1A8
North York Community House,https://www.nych.ca,Toronto,700 Lawrence Avenue West Suite 226,ON,M6A3B4
Ontario Council of Agencies Serving Immigrants,http://www.ocasi.org,Toronto,110 Eglinton Avenue West Suite 200,ON,M4R 1A3
Ontario 211 Services,http://www.211ontario.ca,Toronto,"1 St. Clair Avenue West, Suite 1000",ON,M4V 1K6
Ottawa Chinese Community Service Centre,http://www.occsc.org,Ottawa,381 Kent Street Suite 4004,ON,K2P 2A8
Ottawa Community Immigrant Services Organization,http://www.ociso.org,Ottawa,959 Wellington Street West,ON,K1Y 2X5
Parkdale Intercultural Association,http://www.piaparkdale.com,Toronto,1257 Queen Street West,ON,M6K 1L5
Parya Trillium Foundation,http://www.parya.org,Markham,344 John Street,ON,L3T 5W6
Peel Multicultural Council,http://www.peelmc.com,Mississauga,6630 Turner Valley Road,ON,L5N 2P1
Polycultural Immigrant & Community Services,http://www.polycultural.org,Toronto,"17 Four Seasons Place, #102",ON,M9B 6E6
Punjabi Community Health Services,http://pchs4u.com,MIssissauga,2980 Drew Road,ON, L4T 0A7
Quinte United Immigrant Services,http://www.quis-immigration.org,Belleville,41 Octavia Street,ON,K8N 5V7
Rexdale Women's Centre,http://www.rexdalewomen.org,Etobicoke,925 Albion Road,ON,M9V 1A6
Sault Community Information & Career Centre Inc.,http://www.saultcareercentre.ca,Sault Ste. Marie,503 Queen St East,ON,P6A 2A2
Scadding Court Community Centre,http://www.scaddingcourt.org,Toronto,707 Dundas Street West,ON,M5T 2W6
Settlement Assistance and Family Support Services,http://www.safss.org,Scarborough,1200 Markham Road Suite 214,ON,M1H 3C3
Silent Voice Canada,http://www.silentvoice.ca,Toronto,"60 St. Clair Avenue East, Suite 400",ON,M4T 1N5
Skills for Change,http://www.skillsforchange.org,Toronto,791 St. Clair Avenue West,ON,M6C 1B7
Social Enterprise for Canada,http://www.socialenterprise.ca,Newmarket,17705 Leslie Street,ON,L3Y 2E3
Sojourn House,http://www.sojournhouse.org,Toronto,101 Ontario Street,ON,M5A 2V2
South Asian Women's Centre,http://www.sawc.org,Toronto,800 Lansdowne Avenue Unit 1,ON,M6H 4K3
South Asian Women's Rights Organization Women and Immigrants' Services,http://www.sawro.org,Toronto,"10 Teesdale Place, Suite 108      ",ON,M1L 1K9 
South Essex Community Council,http://www.secc.on.ca,Leamington,215 Talbot Street East,ON,N8H 3X5
Sudbury Multicultural and Folk Arts Association,http://www.sudburymulticultural.org,Sudbury,196 Van Horne Street,ON,P3E 1E5
The 519 Church Street Community Centre,http://www.the519.org,Toronto,519 Church Street,ON,M4Y 2C9
The Catholic Centre for Immigrants Ottawa-Centre Catholique pour Immigrants Ottawa,https://cciottawa.ca,Ottawa,219 Argyle Avenue Suite 500,ON,K2P 2H4
The Neighbourhood Group Community Services,http://www.tngcommunityto.org,Toronto,349 Ontario Street,ON,M5A 2V8
Thunder Bay Multicultural Association,http://www.thunderbay.org,Thunder Bay,17 North Court Street,ON,P7A 4T4
The Neighbourhood Organization,http://www.tno-toronto.org,Toronto,1 Leaside Park Dr Unit #7 ,ON,M4H 1R1
Toronto Region Immigrant Employment Council ,http://www.triec.ca,Toronto,"250 Dundas Street West, Suite 603       ",ON,M5T 2Z5
University Settlement Recreation Centre,https://universitysettlement.ca/about-us,Toronto,23 Grange Road,ON,M5T 1C3
Ukrainian Canadian Social Services Toronto ,http://www.ucsst.ca,Toronto,2445 Bloor Street West ,ON,M6S 1P7
Welland Heritage Council and Multicultural Centre,http://www.wellandheritagecouncil.com,Welland,26 East Main Street,ON,L3B 3W3
West Neighbourhood House,http://www.westnh.org,Toronto,588 Queen Street West,ON, M6J 1E3
WoodGreen Community Services,http://www.woodgreen.org,Toronto,815 Danforth Avenue 1st Floor,ON,M4J 1L2
Working Skills Centre of Ontario,http://www.workingskillscentre.com,Toronto,55 Eglinton Avenue East Suite 703,ON,M4P 1G8
Working Women Community Centre,http://www.workingwomencc.org,Toronto,533 Gladstone Avenue Unit A,ON,M6H 3J1
YMCA of Hamilton Burlington Brantford,https://www.ymcahbb.ca,Hamilton,79 James Street South,ON,L8P 2Z1
YMCA of Niagara,http://www.ymcaofniagara.org,St.Catharines,285 Bunting Road,ON,L2M 7T9
YMCA of Northeastern Ontario,https://www.ymcaneo.ca,Sudbury,140 Durham Street,ON,P3E 3M7
YMCA of Simcoe Muskoka,https://ymcaofsimcoemuskoka.ca,Barrie,22 Grove Street West,ON,L4N 1M7
YMCA of Southwestern Ontario,http://www.ymcaswo.ca,London,165 Elmwood Avenue East,ON,N6C 0A8
YMCA of Three Rivers,http://www.ymcathreerivers.ca,Cambridge,250 Hespeler Road,ON,N1R 3H3
YMCA-YWCA of the National Capital Region,http://www.ymcaottawa.ca, Ottawa,"180 Argyle Street, 2nd Floor",ON,K2P 1B7
YWCA of St. Thomas,http://www.ywcaste.ca,St.Thomas,16 Mary Street West,ON, N5P 2S3
